;0
0;Designated Foreign Terrorist Organizations
1;Date Designated
2;Name
3;Abu Sayyaf Group (ASG)
4;Aum Shinrikyo (AUM)
5;Basque Fatherland and Liberty (ETA)
6;Gama’a al-Islamiyya (Islamic Group – IG)
7;HAMAS
8;Harakat ul-Mujahidin (HUM)
9;Hizballah
10;Kahane Chai (Kach)
11;Kurdistan Workers Party (PKK, aka Kongra-Gel)
12;Liberation Tigers of Tamil Eelam (LTTE)
13;National Liberation Army (ELN)
14;Palestine Liberation Front (PLF)
15;Palestine Islamic Jihad (PIJ)
16;Popular Front for the Liberation of Palestine (PFLP)
17;PFLP-General Command (PFLP-GC)
18;Revolutionary Armed Forces of Colombia (FARC)
19;Revolutionary People’s Liberation Party/Front (DHKP/C)
20;Shining Path (SL)
21;al-Qa’ida (AQ)
22;Islamic Movement of Uzbekistan (IMU)
23;Real Irish Republican Army (RIRA)
24;Jaish-e-Mohammed (JEM)
25;Lashkar-e Tayyiba (LeT)
26;Al-Aqsa Martyrs Brigade (AAMB)
27;Asbat al-Ansar (AAA)
28;al-Qaida in the Islamic Maghreb (AQIM)
29;Communist Party of the Philippines/New People’s Army (CPP/NPA)
30;Jemaah Islamiya (JI)
31;Lashkar i Jhangvi (LJ)
32;Ansar al-Islam (AAI)
33;Continuity Irish Republican Army (CIRA)
34;Islamic State of Iraq and the Levant (formerly al-Qa’ida in Iraq)
35;Islamic Jihad Union (IJU)
36;Harakat ul-Jihad-i-Islami/Bangladesh (HUJI-B)
37;al-Shabaab
38;Revolutionary Struggle (RS)
39;Kata’ib Hizballah (KH)
40;al-Qa’ida in the Arabian Peninsula (AQAP)
41;Harakat ul-Jihad-i-Islami (HUJI)
42;Tehrik-e Taliban Pakistan (TTP)
43;"
Jaysh al-Adl (formerly Jundallah)
"
44;Army of Islam (AOI)
45;Indian Mujahedeen (IM)
46;Jemaah Anshorut Tauhid (JAT)
47;Abdallah Azzam Brigades (AAB)
48;Haqqani Network (HQN)
49;Ansar al-Dine (AAD)
50;Boko Haram
51;Ansaru
52;al-Mulathamun Battalion (AMB)
53;Ansar al-Shari’a in Benghazi
54;Ansar al-Shari’a in Darnah
55;Ansar al-Shari’a in Tunisia
56;ISIL Sinai Province (formerly Ansar Bayt al-Maqdis)
57;al-Nusrah Front
58;Mujahidin Shura Council in the Environs of Jerusalem (MSC)
59;Jaysh Rijal al-Tariq al Naqshabandi (JRTN)
60;ISIL-Khorasan (ISIL-K)
61;Islamic State of Iraq and the Levant’s Branch in Libya (ISIL-Libya)
62;Al-Qa’ida in the Indian Subcontinent
63;Hizbul Mujahideen (HM)
64;ISIS-Bangladesh
65;ISIS-Philippines
66;ISIS-West Africa
67;ISIS-Greater Sahara
68;al-Ashtar Brigades (AAB)
69;Jama’at Nusrat al-Islam wal-Muslimin (JNIM)
70;Islamic Revolutionary Guard Corps (IRGC)
71;Asa’ib Ahl al-Haq (AAH)
