nombre;hora_consulta
organizacion abu nidal, oan, consejo revolucionario de al fatah, brigadas revolucionarias arabes, septiembre negro, organizacion revolucionaria de los musulmanes socialistas;20201228 16 54 PM
brigada de los martires de al aqsa;20201228 16 54 PM
al aqsa ev;20201228 16 54 PM
babbar jalsa;20201228 16 54 PM
partido comunista de las filipinas, nuevo ejercito del pueblo, nep, new people's army, npa;20201228 16 54 PM
ireccion de la seguridad interior del ministerio de inteligencia y seguridad irani;20201228 16 54 PM
al gama al islamiya, al gama'a al islamiyya, grupo islamico, gi;20201228 16 54 PM
i̇slami buyuk doğu akıncılar cephesi, ibda c, frente de guerreros del gran oriente islamico;20201228 16 54 PM
hamas, hamas izz al din al qassem;20201228 16 54 PM
ala militar de hizbula, ala militar de hezbola, ala militar de hizbulah, ala militar de hizbolah, ala militar de hezbalah, ala militar de hisbolah, ala militar de hizbu'llah, ala militar de hizb allah, consejo de la yihad;20201228 16 54 PM
hizbul muyahidin, hm;20201228 16 54 PM
khalistan zindabad force, kzf, fuerza de jalistan zindabad;20201228 16 54 PM
partido de los trabajadores del kurdistan, pkk, kadek, kongra gel;20201228 16 54 PM
tigres para la liberacion de la patria tamil, ltte;20201228 16 54 PM
ejercito de liberacion nacional;20201228 16 54 PM
palestinian islamic jihad, pij, yihad islamica para la liberacion de palestina;20201228 16 54 PM
frente popular de liberacion de palestina, fplp;20201228 16 54 PM
frente popular de liberacion de palestina, comando general, fplp comando general;20201228 16 54 PM
devrimci halk kurtuluș partisi cephesi, dhkp c, devrimci sol, izquierda revolucionaria, dev sol, ejercito frente partido revolucionario de liberacion popular;20201228 16 54 PM
sendero luminoso, sl;20201228 16 54 PM
teyrbazen azadiya kurdistan, tak, halcones de la libertad del kurdistan;20201228 16 54 PM
